,index,tweets,label
1019,218,@Auriazulweb Y luego es  viernes gay ya valió madre jajajaja,NP
374,374,@Tadeo0R no no !!! Esq la marica de @Eolarra  salió con sus cosas a la mera hora y ya no pude hacerte invitación ! #tQhija,P
1549,748,"GDL📍
.
.
.
#guadalajara #Home #gay #happy #smile #saturday #instagay #jalisco #mirrorselfie #goodvibes en Guadalajara, Jalisco url",NP
155,155,@charlsjav Pinches jotos,P
1850,1049,Mucho homosexual en las calles pidiendo su calaverguita desde temprano,NP
2115,1314,"Jan practicando esos movimientos que disfrutaras en Foro Amberes 46 Zona Rosa CDMX Just4Men

Donde los strippers te bailan a url No a tus amigas!

#TeamCharlyDiaz #gays #gay #gaybar #cdmx #show #strippers #showbar… url",NP
4516,3715,"Si dices TERF, “es un insulto”

Si dices Feminista Radical Trans Excluyente (o trans odiante), cero lo discuten.

Lo que les choca son los acrónimos me cae.",NP
2405,1604,La palabra joto tampoco le gusta a Furl url,NP
2555,1754,"Okay super radicales. ¿Qué vamos a hacer hoy? ¿Apoyar a alguna morra?

“No no, hoy es el día de esforzarnos para hacer un comunicado. Vamos a decir que no vamos a hacer nada”

¿nada? ¿Y qué pasó?

“Ah! Fue un caso de violencia contra una mujer. Pero es que es trans” url",NP
535,535,"Si tu marido no te defiende de NADIE, Felicidades no tienes marido tienes un marica.  #SeTeniaQueDecirYseDijo",P
1893,1092,"Viendo lo de la #MarchaFeminista y viendo como se ponen locas , me imagino una marcha  de la pelicula  la #GuerraZ ,",NP
204,204,@NachoRgz @ChumelTorres @LuisitoComunica Son puñales y se pintan las uñas. Para no decir que les tienen miedo a los verdaderos informadores.,P
766,766,"Lia Thomas, matriculada en la Universidad de Pensylvania, ha dominado la natación femenil universitaria de Estados Unidos, lo cual no hacía cuando hasta hace unos años competía como hombre. ¿Esta situación es a favor de la mujer? url",P
3172,2371,"Pinche banda Trans es súper sexy.
Ya, eso es todo.",NP
3015,2214,¿Qué pasa cuando se juntan una productora de películas porno gay y una marca de ropa interior? ¡BUM! @Addicted_GDL url,NP
2966,2165,VIDEO NUEVO ⭕️🛑 Los espero mañana #Martes en #ElMichTV por #Youtube a las 9 pm con mi entrevista a una mujer Trans maravillosa #ValentinaFluchaire y actualmente ganadora del #MissInternationalQueen 2020 ¡Está padrisima! 🥰💖🌈 @valfluchaire #loveislove #pride #trans url,NP
4376,3575,@Sarok_B @khuriel De acuerdísimo. Los hombres trans son hombres.,NP
3132,2331,¿los pasivo son menos hombres? ¿usar tacones no es de hombres? aprendamos a respetar todas las expresiones de lo gay url,NP
93,93,"Nombres de Puñal:
Leonardo 
Emmanuel 
Sergio
Omar
Saúl
Eric
Eduardo
Rodrigo
Jorge

Ese es todo el tuit gracias por su atención",P
4219,3418,"@freddier Seh pero.. * drops trans-disciplinary related jargon terms here and there *

... y así",NP
5772,611,Planeaciones formación matemáticas y español creo que si me volveré loca! 😕,NA
2159,1358,Ser gay en Twitter/ ser gay en la vida real url,NP
152,152,"El mismo concepto, si un travesti puede cambiar de género, entonces él tiene el derecho de cambiar de edad url",P
2389,1588,Recap | ES —   Australia inicia el sondeo postal sobre la legalización de los matrimonios homosexuales url,NP
98,98,Como me ultra cagan las comadres (chavo gay y amiga gorda) que vienen al gym a hacerse PENDEJAS!!!!!! nadamas ocupan aparatos y pesas a lo estúpido porque nisiquiera hacen bien el ejercicio y se la pasan hable y hable. Y se ponen solitos sus ejercicios hdsptm,P
